<lex>m<s>mela</s></lex>	m#mela
<lex>mf<s>A</s><s>lohinI</s>n</lex>	m:f#A:f#lohinI:n
<lex>mf<s>A</s><s>riRI</s>n</lex>	m:f#A:f#riRI:n
<lex>mf<s>A</s>n</lex>	m:f#A:n
<lex>mf<s>A</s>!</p>n</lex>	m:f#A:n
<lex>mf<s>A</s></p>n</lex>	m:f#A:n
<lex>mf<s>A</s><s>arSaAdi</s>n</lex>	m:f#A:n
<lex>mf<s>AcI</s>n</lex>	m:f#AcI:n
<lex>mf<s>AtI</s><s>AntI</s>n</lex>	m:f#AtI:f#AntI:n
<lex>mf<s>AvI</s>n</lex>	m:f#AvI:n
<lex>mf<s>BArOhI</s>n</lex>	m:f#BArOhI:n
<lex>mf<s>BvI</s>n</lex>	m:f#BvI:n
<lex>mf<s>DUcI</s>n</lex>	m:f#DUcI:n
<lex>mf<s>DnI</s>n</lex>	m:f#DnI:n
<lex>mf<s>-GnI</s>n</lex>	m:f#Gn/I:n
<lex>mf<s>GnI</s><s>haRI</s>n</lex>	m:f#GnI:f#haRI:n
<lex>mf<s>GnI</s>n</lex>	m:f#GnI:n
<lex>mf<s>GnuzI</s>n</lex>	m:f#GnuzI:n
<lex>mf<s>I</s></lex>	m:f#I
<lex>mf<s>I</s></p></lex>	m:f#I
<lex>mf<s>I</s>f<s>A</s></lex>	m:f#A:f#I
<lex>mf<s>I</s><s>A</s></p></lex>	m:f#A:f#I
<lex>mf<p><c><s>I</s>also</c><s>A</s>n</lex>	m:f#A:f#I:n
<lex>mf<s>I</s><s>A</s></p>n</lex>	m:f#A:f#I:n
<lex>mf<s>I</s><s>A</s></p>n</lex>	m:f#A:f#I:n
<lex>mf<s>I</s><c>orm</c><s>A</s>n</lex>	m:f#A:f#I:n
<lex>mf<s>I</s><s>SAradI</s>n</lex>	m:f#I:f#SAradI:n
<lex>mf<s>I<shortlong/></s>n</lex>	m:f#I:f#i:n
<lex>mf<s>I</s><s>ikA</s></lex>	m:f#I:f#ikA
<lex>mf<s>I</s><s>ikA</s>n</lex>	m:f#I:f#ikA:n
<lex>mf<s>I</s><s>rI</s>n</lex>	m:f#I:f#rI:n
<lex>mf<s>I</s><s>u</s></lex>	m:f#I:f#u
<lex>mf<s>I</s>f<s>yA</s></lex>	m:f#I:f#yA
<lex>mf<s>I</s><s>gOrAdi</s>n</lex>	m:f#I:n
<lex>mf<s>I</s></p>n</lex>	m:f#I:n
<lex>mf<s>I</s><s>aSva-patyAdi</s>n</lex>	m:f#I:n
<lex>mf<s>I</s><s>bilvAdi</s>n</lex>	m:f#I:n
<lex>mf<s>I</s><s>gOrAdi</s></p>n</lex>	m:f#I:n
<lex>mf<s>I</s>nf<s>A</s></lex>	m:f#I:f#A:n
<lex>mf<s>I</s><s>bilvAdi</s>nf<s>A</s></lex>	m:f#I:f#A:n
<lex>mf<s>I</s>nf<s>I</s></lex>	m:f#I:n
<lex>mf<s>IcI</s></lex>	m:f#IcI
<lex>mf<s>IcI</s>n</lex>	m:f#IcI:n
<lex>mf<s>IkA</s>n</lex>	m:f#IkA:n
<lex>mf<s>KarvikA</s>n</lex>	m:f#KarvikA:n
<lex>mf<s>RI</s>n</lex>	m:f#RI:n
<lex>mf<s>SIrzRI</s>n</lex>	m:f#SIrzRI:n
<lex>mf<s>SaSvatI</s><s>tI</s>n</lex>	m:f#tI:f#SaSvatI:n
<lex>mf<s>ScuzI</s>n</lex>	m:f#ScuzI:n
<lex>mf<s>SyenI</s><s>SyetA</s>n</lex>	m:f#SyetA:f#SyenI:n
<lex>mf<s>TI</s>n</lex>	m:f#TI:n
<lex>mf<s>TuzI</s>n</lex>	m:f#TuzI:n
<lex>mf<s>U</s></lex>	m:f#U
<lex>mf<s>U/<shortlong/></s><s>vI</s>n</lex>	m:f#U:f#u:f#vI:n
<lex>mf<s>U<shortlong/></s><s>vI</s>n</lex>	m:f#U:f#u:f#vI:n
<lex>mf<s>U<shortlong/></s>n</lex>	m:f#U:f#u:n
<lex>mf<s>U</s><s>vI</s>n</lex>	m:f#U:f#vI:n
<lex>mf<s>U</s>n</lex>	m:f#U:n
<lex>mf<s>adI</s>n</lex>	m:f#adI:n
<lex>mf<s>akA</s><s>ikA</s>n</lex>	m:f#akA:f#ikA:n
<lex>mf<s>antI</s><s>atI</s>n</lex>	m:f#atI:f#antI:n
<lex>mf<s>antI</s>n</lex>	m:f#antI:n
<lex>mf<s>anti</s>n</lex>	m:f#anti:n
<lex>mf<s>arI</s>n</lex>	m:f#arI:n
<lex>mf<s>arI</s></p>n</lex>	m:f#arI:n
<lex>mf<s>atI</s><s>antI</s>n</lex>	m:f#atI:f#antI:n
<lex>mf<s>atI</s>n</lex>	m:f#atI:n
<lex>mf<s>attrI</s></lex>	m:f#attrI
<lex>mf<s>cI</s></lex>	m:f#cI
<lex>mf<p>Ved<s>-dfSI</s>n</lex>	m:f#d/fSI:n
<lex>mf<s>drIcI</s>n</lex>	m:f#drIcI:n
<lex>mf<s>enI</s>n</lex>	m:f#enI:n
<lex>mf<s>f</s>n</lex>	m:f#f:n
<lex>mf<s>gayI</s>n</lex>	m:f#gayI:n
<lex>mf<s>gmuzI</s>n</lex>	m:f#gmuzI:n
<lex>mf<s>gocI</s>n</lex>	m:f#gocI:n
<lex>mf<s>grI</s><s>gryA</s></lex>	m:f#grI:f#gryA
<lex>mf<s>hnI</s>n</lex>	m:f#hnI:n
<lex>mf<s>i</s>f<s>I</s></lex>	m:f#i:f#I
<lex>mf<s>i</s><s>tnI</s>n</lex>	m:f#i:f#tnI:n
<lex>mf<s>i</s>n</lex>	m:f#i:n
<lex>mf<s>iRI</s></lex>	m:f#iRI
<lex>mf<s>iRI</s>n</lex>	m:f#iRI:n
<lex>mf<s>ikA</s></lex>	m:f#ikA
<lex>mf<s>ikA</s><s>I</s></lex>	m:f#I:f#ikA
<lex>mf<s>ikA</s><s>akI</s>n</lex>	m:f#akI:f#ikA:n
<lex>mf<s>ikA</s><s>enikA</s>n</lex>	m:f#ikA:f#enikA:n
<lex>mf<s>ikA</s><s>ikI</s>n</lex>	m:f#ikA:f#ikI:n
<lex>mf<s>ikA</s>n</lex>	m:f#ikA:n
<lex>mf<s>ikA</s></p>n</lex>	m:f#ikA:n
<lex>mf<s>inI</s></lex>	m:f#inI
<lex>mf<s>inI</s>n</lex>	m:f#inI:n
<lex>mf<s>is</s><s>I</s>n</lex>	m:f#I:f#is:n
<lex>mf<s>jYI</s>n</lex>	m:f#jYI:n
<lex>mf<s>jvI</s>n</lex>	m:f#jvI:n
<lex>mf<s>kA</s></lex>	m:f#kA
<lex>mf<s>kI</s></lex>	m:f#kI
<lex>mf<s>kadrIcI</s>n</lex>	m:f#kadrIcI:n
<lex>mf<s>kyA</s></lex>	m:f#kyA
<lex>mf<s>kzI</s><s>kzyA</s></lex>	m:f#kzI:f#kzyA
<lex>mf<s>kzuzI</s>n</lex>	m:f#kzuzI:n
<lex>mf<s>mRI</s>n</lex>	m:f#mRI:n
<lex>mf<s>mahizI</s>n</lex>	m:f#mahizI:n
<lex>mf<s>minI</s>n</lex>	m:f#minI:n
<lex>mf<s>mnI</s>n</lex>	m:f#mnI:n
<lex>mf<s>nI</s></lex>	m:f#nI
<lex>mf<s>nI</s>n</lex>	m:f#nI:n
<lex>mf<s>nIci</s>n</lex>	m:f#nIci:n
<lex>mf<s>ntI</s></lex>	m:f#ntI
<lex>mf<s>ntI</s>n</lex>	m:f#ntI:n
<lex>mf<s>-padI</s>n</lex>	m:f#p/adI:n
<lex>mf<s>pA</s><s>pI</s>n</lex>	m:f#pA:f#pI:n
<lex>mf<s>pUrvI</s>n</lex>	m:f#pUrvI:n
<lex>mf<s>padI</s>n</lex>	m:f#padI:n
<lex>mf<s>patnI</s>n</lex>	m:f#patnI:n
<lex>mf<s>qvI</s>n</lex>	m:f#qvI:n
<lex>mf<s>rI</s>n</lex>	m:f#rI:n
<lex>mf<s>rU</s>n</lex>	m:f#rU:n
<lex>mf<s>ryOhI</s></lex>	m:f#ryOhI
<lex>mf<s>ryuzI</s>n</lex>	m:f#ryuzI:n
<lex>mf<s>rzRI</s>n</lex>	m:f#rzRI:n
<lex>mf<s>sI</s>n</lex>	m:f#sI:n
<lex>mf<s>sOrI</s><s>sOryA</s>n</lex>	m:f#sOrI:f#sOryA:n
<lex>mf<s>saDrIcI</s>n</lex>	m:f#saDrIcI:n
<lex>mf<s>satI</s>n</lex>	m:f#satI:n
<lex>mf<s>si</s>n</lex>	m:f#si:n
<lex>mf<s>stI</s>n</lex>	m:f#stI:n
<lex>mf<s>tI</s>n</lex>	m:f#tI:n
<lex>mf<s>tIcI</s>n</lex>	m:f#tIcI:n
<lex>mf<s>ti</s></lex>	m:f#ti
<lex>mf<s>tikA</s><s>lohinikA</s>n</lex>	m:f#tikA:f#lohinikA:n
<lex>mf<s>tinI</s>n</lex>	m:f#tinI:n
<lex>mf<s>tnI</s>n</lex>	m:f#tnI:n
<lex>mf<s>trI</s></lex>	m:f#trI
<lex>mf<s>trI</s>n</lex>	m:f#trI:n
<lex>mf<s>ttyA</s></lex>	m:f#ttyA
<lex>mf<s>tuzI</s>n</lex>	m:f#tuzI:n
<lex>mf<s>tyA</s></lex>	m:f#tyA
<lex>mf<s>tyikA</s>n</lex>	m:f#tyikA:n
<lex>mf<s>u</s><s>U</s></lex>	m:f#u:f#U
<lex>mf<s>u</s><s>U</s>n</lex>	m:f#u:f#U:n
<lex>mf<s>u</s><s>vI</s></lex>	m:f#u:f#vI
<lex>mf<s>u</s><s>vI</s>n</lex>	m:f#u:f#vI:n
<lex>mf<s>u</s>n</lex>	m:f#u:n
<lex>mf<s>us</s><s>vI</s>n</lex>	m:f#vI:f#us:n
<lex>mf<s>us</s>n</lex>	m:f#us:n
<lex>mf<s>uzI</s>n</lex>	m:f#uzI:n
<lex>mf<s>vI</s></lex>	m:f#vI
<lex>mf<s>vI</s><s>U</s>n</lex>	m:f#U:f#vI:n
<lex>mf<s>vI</s><s>u</s>n</lex>	m:f#u:f#vI:n
<lex>mf<s>vI</s><s>us</s>n</lex>	m:f#vI:f#us:n
<lex>mf<s>vI</s>n</lex>	m:f#vI:n
<lex>mf<s>varI</s>n</lex>	m:f#varI:n
<lex>mf<s>vatI</s><s>vatnI</s>n</lex>	m:f#vatI:f#vatnI:n
<lex>mf<s>vatI</s>n</lex>	m:f#vatI:n
<lex>mf<s>vi</s></lex>	m:f#vi
<lex>mf<s>viSvOhI</s>n</lex>	m:f#viSvOhI:n
<lex>mf<s>yUnI</s><s>yuvatI<shortlong/></s></p>n</lex>	m:f#yUnI:f#yuvatI:f#yuvati:n
<lex>mf<s>yanI</s></lex>	m:f#yanI
<lex>mf<s>yikA</s></lex>	m:f#yikA
<lex>mf<s>yuzI</s>n</lex>	m:f#yuzI:n
<lex>mf<s>zRI</s></lex>	m:f#zRI
<lex>mf<s>zRI</s>n</lex>	m:f#zRI:n
<lex>mf<s>zUcI</s>n</lex>	m:f#zUcI:n
<lex>mf</lex>	m:f
<lex>mf<p></p></lex>	m:f
<lex>mff<s>I</s></lex>	m:f:f#I
<lex>mff<s>lI</s></lex>	m:f:f#lI
<lex>mff<s>yonI</s></lex>	m:f:f#yonI
<lex>mff<s>zI</s></lex>	m:f:f#zI
<lex>mfn</lex>	m:f:n
<lex>m<s>As</s><s>e</s>fn</lex>	m:f:n
<lex>m<s>RAYcam</s>fn</lex>	m:f:n
<lex>m<s>haRam</s>fn</lex>	m:f:n
<lex>m<s>viduze</s>fn</lex>	m:f:n
<lex>m<s>-juvA</s>fn</lex>	m:f:n
<lex>m<s>-sriyas</s>fn</lex>	m:f:n
<lex>m<s>-vAhas</s>fn</lex>	m:f:n
<lex>m<s>Anas</s>fn</lex>	m:f:n
<lex>m<s>-Dfk</s>fn</lex>	m:f:n
<lex>m<s>dan</s>fn</lex>	m:f:n
<lex>m<s>-pA</s>fn</lex>	m:f:n
<lex>m<s>vAw</s>fn</lex>	m:f:n
<lex>m<s>-zAw</s>fn</lex>	m:f:n
<lex>m<s>KA</s>fn</lex>	m:f:n
<lex>m<s>dDA</s>fn</lex>	m:f:n
<lex>m<s>yaN</s>fn</lex>	m:f:n
<lex>m<s>vAn</s>fn</lex>	m:f:n
<lex>m<s>tAras</s>fn</lex>	m:f:n
<lex>m<s>a/pupuzas</s>fn</lex>	m:f:n
<lex>m<s>ByuzA</s><s>Byuzas</s>fn</lex>	m:f:n
<lex>m<s>-Ganas</s>fn</lex>	m:f:n
<lex>m<s>-sApas</s>fn</lex>	m:f:n
<lex>m<s>As</s>fn</lex>	m:f:n
<lex>m<s>An</s>fn</lex>	m:f:n
<lex>m<s>Duk</s>fn</lex>	m:f:n
<lex>m<s>vAn</s><s>a/raruzas</s>fn</lex>	m:f:n
<lex>m<s>ikA</s>fn</lex>	m:f:n
<lex>mf<s>yasas</s>n</lex>	m:f:n
<lex>mf<s>im</s>n</lex>	m:f:n
<lex>mfnn</lex>	m:f:n
<lex>mfnf<s>I</s></lex>	m:f:f#I:n
<lex>mfnf<s>ikA</s></lex>	m:f:f#ikA:n
<lex>mfnf<s>sanutrI</s></lex>	m:f:f#sanutrI:n
<lex>mfnf<s>tikA</s>f<s>takI</s></lex>	m:f:f#tikA:f#takI:n
<lex>mfnf<s>trI</s></lex>	m:f:f#trI:n
<lex>mfnf<s>vI</s></lex>	m:f:f#vI:n
<lex>mfnf</lex>	m:f:n
<lex>mfnind</lex>	m:f:n:ind
<lex>mfnm</lex>	m:f:n
<lex>mfnmfn</lex>	m:f:n
<lex>mm</lex>	m
<lex>mmf<s>A</s>n</lex>	m:f#A:n
<lex>mmfn</lex>	m:f:n
<lex>mn</lex>	m:n
<lex>mnn</lex>	m:n
<lex>mn<p>?</p></lex>	m:n
<lex>mnf<s>A</s></lex>	m:f#A:n
<lex>mnf<s>I</s></lex>	m:f#I:n
<lex>mnf<s>I</s></lex>	m:f#I:n
<lex>mnf<s>Us</s></lex>	m:f#Us:n
<lex>mnf</lex>	m:f:n
<lex>mnmfn</lex>	m:f:n
<lex>n</lex>	n
<lex>nn</lex>	n
<lex>nf<s>A</s></lex>	f#A:n
<lex>nf<s>A</s><s>I</s></lex>	f#A:f#I:n
<lex>nf<s>A</s>m</lex>	m:f#A:n
<lex>nf<s>I</s></lex>	f#I:n
<lex>nf<s>SAsanA</s></lex>	f#SAsanA:n
<lex>nf<s>i</s></lex>	f#i:n
<lex>nf<s>i</s><s>SI</s></lex>	f#i:f#SI:n
<lex>nf<s>ikA</s></lex>	f#ikA:n
<lex>nf<s>naktA</s></lex>	f#naktA:n
<lex>nf<s>wI</s></lex>	f#wI:n
<lex>nf</lex>	f:n
<lex>nind</lex>	n:ind
<lex>nm</lex>	m:n
<lex>nmf<s>I</s></lex>	m:f#I:n
<lex>nmf<s>I</s>f</lex>	m:f:f#I:n
<lex>nmf<s>I</s>n</lex>	m:f#I:n
<lex>nmf</lex>	m:f:n
<lex>nmfn</lex>	m:f:n
<lex>nmm</lex>	m:n
<lex>nnn</lex>	n
<lex><s>ikA</s>f</lex>	f#ikA
<lex>ff<s>drI</s></lex>	f:f#drI
<lex>ff<s>A</s>f<s>I</s></lex>	f:f#A:f#I
<lex>ff<s>A</s><s>I</s></lex>	f:f#A:f#I
<lex>ff<s>i</s><s>I</s></lex>	f:f#i:f#I
<lex>ff<s>i</s><s>I</s>mf<s>BI</s></lex>	m:f:f#i:f#I:f#BI
<lex>ff<p>also<s>I</s></lex>	f:f#I
<lex>find<s>Sam</s></lex>	f:ind#Sam
<lex>fmf<s>rajjU</s></lex>	m:f:f#rajjU
<lex>fm<s>u</s><s>U</s><s>u</s></lex>	m#u:m#U:f:n#u
<lex>fmfn<s>i</s></lex>	m:f:n#i
<lex>fmf<s>A</s>n</lex>	m:f:f#A:n
<lex>fmfnf<s>A</s></lex>	m:f:f#A:n
<lex>fn<s>SAla</s></lex>	f:n#SAla
<lex>fn<s>saBa</s></lex>	f:n#saBa
<lex>fn<s>sura</s></lex>	f:n#sura
<lex>f<s>A</s>ind<s>am</s></lex>	f#A:ind#am
<lex>f<s>A</s>nm</lex>	m:f#A:n
<lex>f<s>A</s>or<s>I</s></lex>	f#A:f#I
<lex>f<s>I</s>f<s>A</s></lex>	f#I:f#A
<lex>f<s>I</s>nf<s>A</s></lex>	f#I:f#A:n
<lex>ind<s>nadam</s></lex>	ind#nadam
<lex>mff<s>ikA</s></lex>	m:f:f#ikA
<lex>mf<s>mA</s>nf<s>A</s></lex>	m:f#A:f#mA:n
<lex>mf<s>A</s>f<s>A</s>n</lex>	m:f#A:n
<lex>mf<s>akA</s></lex>	m:f#akA
<lex>mf<s>ikA</s>f<s>akA</s></lex>	m:f#akA:f#ikA
<lex>mf<s>pad</s><s>padI</s></lex>	m:f#pad:f#padI
<lex>mmfnf<s>A</s></lex>	m:f:f#A:n
<lex>mnf<s>A</s>f<s>I</s></lex>	m:f#A:f#I:n
<lex>mnf<s>I</s>f<s>A</s></lex>	m:f#I:f#A:n
<lex>m<s>vAn</s></lex>	m#vAn
<lex>m<s>aha</s>n</lex>	m#aha:n
<lex>mf<s>a/SiSvI</s><s>aSiSu</s>n</lex>	m:f#aSiSu:f#aSiSvI:n
<lex>mf<s>A</s>nf</lex>	m:f:f#A:n
<lex>mf<s>A</s>nf<s>I</s></lex>	m:f#A:f#I:n
<lex>mf<s>i</s><s>I</s>n</lex>	m:f#i:f#I:n
<lex>mf<s>ikA</s>nf<s>akA</s></lex>	m:f#akA:f#ikA:n
<lex>mf<s>jYuzI</s>n</lex>	m:f#jYuzI:n
<lex>mf<s>pipyuzI</s>n</lex>	m:f#pipyuzI:n
<lex>mfnf<s>inI</s></lex>	m:f:f#inI:n
<lex>mfnind<s>am</s></lex>	m:f:n:ind#am
<lex>mnff<s>I</s></lex>	m:f:f#I:n
<lex>mnf<s>akA</s><s>ikA</s></lex>	m:f#ikA:f#akA:n
<lex>mnf<s>ikA</s></lex>	m:f#ikA:n
<lex>mnmn</lex>	m:n
<lex>nmf<s>A</s></lex>	m:f#A:n
<lex>nf<s>A</s>ind</lex>	f#A:n:ind
<lex>nf<s>I</s>f<s>A</s></lex>	f#I:f#A:n
<lex>nf<s>uzI</s></lex>	f#uzI:n
<lex>nmf<s>A</s>f<s>I</s></lex>	m:f#A:f#I:n
<lex>nmf<s>A</s><s>I</s></lex>	m:f#A:f#I:n
<lex>n<s>sena</s></lex>	n#sena
<lex>mff<s>A</s></lex>	m:f:f#A
<lex>mnf<s>A</s><s>I</s></lex>	m:f#A:f#I:n
<lex>nf<s>A</s>f<s>A</s></lex>	f#A:n
<lex>nf<s>A</s>f<s>I</s></lex>	f#A:f#I:n
<lex>mfnf<s>A</s></lex>	m:f:f#A:n
<lex>nmf<s>A</s>n</lex>	m:f#A:n
<lex>mf<s>A</s>f<s>I</s></lex>	m:f#A:f#I
<lex>ff<s>A</s></lex>	f:f#A
<lex>mm<s>rAja</s>f<s>rAjan</s><s>jA</s><s>jYI</s></lex>	m:f#jI:f#jA
<lex>f<s>rya</s>mfn</lex>	m#rya:f:f#ryA:n#rya
<lex><s>RI</s>f</lex>	f#RI
<lex>m<s>Ri</s>n</lex>	m:n#Ri
<lex>f<s>la</s>n</lex>	f:n#la
<lex><s>wI</s>f</lex>	f#wI
<lex>f<s>Ra</s>mn</lex>	m#Ra:f:n#Ra
<lex>mf<s>-vAw</s>n</lex>	m:f:n
<lex>mff</lex>	m:f
<lex>m<s>qI</s>f</lex>	m:f#qI
<lex>n<s>nA</s>f</lex>	f#nA:n
<lex>m<s>BI</s>f</lex>	m:f#BI
<lex>m<s>li</s>f<s>lI</s>f</lex>	m:f#li:f#lI
<lex>m<s>kerI</s>f</lex>	m:f#kerI
<lex>f<s>ka</s>mfn</lex>	m#ka:f#kA:n#ka
<lex><s>lA</s>f</lex>	f#lA
<lex>m<s>lA</s>f</lex>	m:f#lA
<lex>f<s>lI</s>f</lex>	f:f#lI
<lex><s>RA</s>f</lex>	f#RA
<lex>f<s>nIka</s>mfn</lex>	m#nIka:f:f#nIkA:n#nIka
<lex>m<s>kA</s>f</lex>	m:f#kA
<lex>f<s>tra</s>n</lex>	f:n#tra
<lex>n<s>RA</s>f</lex>	f#RA:n
<lex>m<s>ReSI</s>f</lex>	m:f#ReSI
<lex>m<s>dAkU</s>f</lex>	m:f#dAkU
<lex>f<s>Ra</s>n</lex>	f:n#Ra
<lex>f<s>ga</s>n</lex>	f:n#ga
<lex>f<s>tIka</s>mfn</lex>	m#tIka:f:f#tIkA:n#tIka
<lex>m<s>DU</s>f</lex>	m:f#DU
<lex>m<s>kI</s>f</lex>	m:f#kI
<lex><s>cI</s>f</lex>	f#cI
<lex>m<s>metA</s>f</lex>	m:f#metA
<lex>fn<s>a</s></lex>	f:n#a
<lex>f<s>cIka</s>mfn</lex>	m#cIka:f:f#cIkA:n#cIka
<lex>n<s>a</s></lex>	n#a
<lex>fn<s>a</s></lex>	f:n#a
<lex>f<s>nIka</s>mfn</lex>	m#nIka:f:f#nIkA:n#nIka
<lex>f<s>ka</s>mn</lex>	m#ka:f:n#ka
<lex>mmfnmfn</lex>	m:f:n
<lex>f<s>na</s>n</lex>	f:n#na
